ticker,date,coname,exec,dep_code,year,car_0_2,car_0_5,car_3_20,car_full,alpha,beta,n_est,n_evt
ALK,1995-02-09,ALASKA AIR GROUP INC,Raymond J. Vecci,3,1995,0.04206721753348626,0.0015415374787955474,-0.115443499275088,-0.098537004595581,-0.0002524061233787803,1.1936321609049516,130,26
DLX,1995-05-01,DELUXE CORP,Harold V. Haverty,3,1995,0.00740741281466845,-0.015059690394667717,0.0187390390282292,0.029708498512084545,-0.00029284348758387084,0.5026000988028444,130,26
SPXC,1995-10-19,SPX CORP,Edmund M. Carpenter,3,1995,-0.0034342621098693224,-0.008129548469464919,0.0870994192922962,0.11123880647199505,-0.0006501826377111877,0.682559612747799,130,26
AAPL,1996-02-02,APPLE INC,Michael H. Spindler,3,1996,0.03962216879877721,-0.03270798718965017,-0.052968728661631034,-0.09827544548936551,-0.004035843625308929,1.3096360314180562,130,26
UIS,1996-11-01,EPRESENCE INC,David C. Mahoney,3,1996,-0.013746805950874269,-0.0570795768449526,0.11928901728491884,0.04272863284172639,0.000484445313386909,0.9784696389374021,130,26
DGII,1996-12-31,DIGI INTERNATIONAL INC,Ervin F. Kamm Jr.,4,1996,0.06542694322190096,0.030112014978034903,-0.07381949055851071,-0.1994233722484576,-0.005095413629615131,1.3369614215600745,130,26
ADM,1997-04-17,ARCHER-DANIELS-MIDLAND CO,Dwayne O. Andreas,4,1997,0.034091109201829846,0.045204653653940434,0.019159994521238188,0.03974941160508211,-0.0007548803890303991,0.8316880610851567,130,26
AAPL,1997-07-08,APPLE INC,Gilbert F. Amelio,3,1997,-0.03339427645639159,0.163542712315567,0.4519963321713353,0.3617979184038778,-0.002861442187930532,0.5109938060533926,130,26
CAR,1997-12-17,AVIS BUDGET GROUP INC,Walter A. Forbes,4,1997,0.06372469138534635,0.037375363452814336,0.013221747546692461,0.0707604103734898,0.0007223090115447907,1.1086018228502068,130,26
FCX,1998-01-01,FREEPORT MCMORAN INC,Rene L. Latiolais,4,1998,-0.005626022750999176,-0.0559017466932353,-0.0007028973902015231,0.037335221580647275,-0.0029115908377214633,0.35148739827119097,130,26
ETR,1998-05-27,ENTERGY CORP,Edwin Lupberger,3,1998,0.10344194826590233,0.13204763597049207,0.06908685840886934,0.14279795540930013,0.00016333972037043098,0.3896048276666507,130,26
