ticker,date,coname,exec,dep_code,tenure_no,year,gvkey
AAL,4/24/2003,AMERICAN AIRLINES GROUP INC,Donald J. Carty,3,1,2003,1045
AAN,8/31/2014,AARON'S INC,Ronald W. Allen,3,1,2014,1076
ACET,9/27/2017,ACETO CORP,Salvatore J. Guccione,3,1,2017,1094
ACET,5/31/2019,ACETO CORP,William C. Kennally III,3,1,2019,1094
AMD,7/17/2008,ADVANCED MICRO DEVICES,Hector de Jesus Ruiz,3,1,2008,1161
AMD,1/10/2011,ADVANCED MICRO DEVICES,Derrick R. Meyer,3,1,2011,1161
AET,2/25/2000,AETNA INC,Richard L. Huber,4,1,2000,1177
APD,7/1/2014,AIR PRODUCTS & CHEMICALS INC,John E. McGlade,3,1,2014,1209
ALK,2/9/1995,ALASKA AIR GROUP INC,Raymond J. Vecci,3,1,1995,1230
HON,7/3/2001,HONEYWELL INTERNATIONAL INC,Michael R. Bonsignore,3,1,2001,1300
AEP,1/1/2004,AMERICAN ELECTRIC POWER CO,E. Linn Draper Jr.,3,1,2004,1440
CTV,7/18/2001,ANDREW CORP,Guy M Campbell,3,1,2001,1651
V,10/11/2002,K2 INC,Richard M. Rodstein,3,1,2002,1677
APA,1/20/2015,APACHE CORP,G. Steven Farris,3,1,2015,1678
AAPL,2/2/1996,APPLE INC,Michael H. Spindler,3,1,1996,1690
AAPL,7/8/1997,APPLE INC,Gilbert F. Amelio,3,1,1997,1690
AMAT,9/1/2013,APPLIED MATERIALS INC,Michael R. Splinter,3,1,2013,1704
EPAC,8/25/2015,ACTUANT CORP -CL A,Mark E. Goldstein,3,1,2015,1706
ADM,4/17/1997,ARCHER-DANIELS-MIDLAND CO,Dwayne O. Andreas,4,1,1997,1722
ARW,6/1/1999,ARROW ELECTRONICS INC,Stephen P. Kaufman,3,1,1999,1773
ADSK,2/8/2017,AUTODESK INC,Carl Bass,4,1,2017,1878
ADP,11/9/2011,AUTOMATIC DATA PROCESSING,Gary C. Butler,4,1,2011,1891
AVT,7/11/2016,AVNET INC,Richard P. Hamada,3,1,2016,1919
AVP,4/22/2012,AVON PRODUCTS,Andrea Jung,3,1,2012,1920
AVP,2/5/2018,AVON PRODUCTS,Sherilyn S. D. McCoy,3,1,2018,1920
BHI,1/28/2000,BAKER HUGHES INC,Max L. Lukens,3,1,2000,1976
BOL,1/31/1996,BAUSCH & LOMB HLDGS -REDH,Daniel E. Gill,4,1,1996,2085
BAX,4/26/2004,BAXTER INTERNATIONAL INC,Harry M. Jansen Kraemer Jr.,3,1,2004,2086
VZ,9/25/2004,BELL INDUSTRIES INC,Tracy A. Edwards,3,1,2004,2138
BBY,4/9/2012,BEST BUY CO INC,Brian J. Dunn,4,1,2012,2184
SVNT,1/1/2011,SAVIENT PHARMACEUTICALS INC,Paul R. Hamelin R.Ph.,3,1,2011,2222
BIIB,12/22/1998,BIOGEN INC-OLD,James R. Tobin,3,1,1998,2226
BIIB,6/8/2010,BIOGEN INC-OLD,James C. Mullen,3,1,2010,2226
SERV,11/20/2007,BLOCK H & R INC,Mark A. Ernst,3,1,2007,2269
BA,12/1/2003,BOEING CO,Philip M. Condit,3,1,2003,2285
BA,3/6/2005,BOEING CO,Harry C. Stonecipher,4,1,2005,2285
BA,12/23/2019,BOEING CO,Dennis A. Muilenburg,3,1,2019,2285
BMY,9/12/2006,BRISTOL-MYERS SQUIBB CO,Peter R. Dolan,4,1,2006,2403
CDI,10/1/2001,CDI CORP,Allen M. Levantin,3,1,2001,2538
CDI,3/1/2014,CDI CORP,H. Paulett Eberhart,3,1,2014,2538
CDI,9/16/2016,CDI CORP,Scott Freidheim,3,1,2016,2538
CSX,3/6/2017,CSX CORP,Michael Jon Ward,3,1,2017,2574
CPB,3/22/2000,CAMPBELL SOUP CO,Dale F. Morrison,3,1,2000,2663
CPB,7/31/2011,CAMPBELL SOUP CO,Douglas R. Conant,3,1,2011,2663
CPB,5/18/2018,CAMPBELL SOUP CO,Denise Mullen Morrison,3,1,2018,2663
CAH,1/1/2018,CARDINAL HEALTH INC,George S. Barrett,3,1,2018,2751
CNL,2/8/2017,CLECO CORP,Darren J. Olagues,4,1,2017,2859
CKP,5/3/2012,CHECKPOINT SYSTEMS INC,Robert P. Van Der Merwe,3,1,2012,2953
CVX,1/1/2018,CHEVRON CORP,John S. Watson,3,1,2018,2991
CBB,10/1/2002,CINCINNATI BELL INC,Richard G. Ellenberger,3,1,2002,3036
